STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
24157,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Moorabool,M,VCE non-VET,Upper-middle,India,No,Bachelor degree,Bachelor degree
24158,NORTH-EASTERN VICTORIA,Metropolitan,Government,Maroondah,F,VCE VET,Highest,Other,No,Bachelor degree,Bachelor degree
24159,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,F,VCE VET,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24160,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,F,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24161,NORTH-WESTERN VICTORIA,Metropolitan,Government,Hume,M,VCAL only,Lowest,Australia,Yes,Certificates/diplomas,Certificates/diplomas
24162,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Monash,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24163,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE VET,Lowest,Australia,Yes,Employed,Employed
24164,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,M,VCE non-VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24165,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Upper-middle,Indonesia,Yes,Bachelor degree,Bachelor degree
24166,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,M,VCE non-VET,Lower-middle,Philippines,No,Bachelor degree,Bachelor degree
24167,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Greater Dandenong,F,VCE non-VET,Upper-middle,China (excl. SARs and Taiwan Province),Yes,Bachelor degree,Bachelor degree
24168,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24169,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Wyndham,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24170,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,M,VCE non-VET,Lower-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24171,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle,Canada,Yes,Bachelor degree,Bachelor degree
24172,NORTH-EASTERN VICTORIA,Metropolitan,Government,Knox,F,VCE non-VET,Lowest,Australia,No,Bachelor degree,Bachelor degree
24173,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24174,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Glenelg,M,VCAL only,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24175,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,M,VCE non-VET,Highest,China (excl. SARs and Taiwan Province),Yes,Bachelor degree,Bachelor degree
24176,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24177,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,M,VCE VET,Lowest,Australia,Yes,Bachelor degree,Bachelor degree
24178,SOUTH-WESTERN VICTORIA,Metropolitan,Adult,Melbourne,M,VCE non-VET,Highest,Hong Kong (SAR of China),Yes,Certificates/diplomas,Certificates/diplomas
24179,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Wyndham,F,VCE non-VET,Lower-middle,Lebanon,Yes,Looking for work,Looking for work
24180,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Greater Dandenong,F,VCE non-VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24181,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,F,VCE non-VET,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24182,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24183,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Brimbank,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24184,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24185,NORTH-WESTERN VICTORIA,Metropolitan,Government,Hume,M,VCE non-VET,Upper-middle,Singapore,Yes,Bachelor degree,Bachelor degree
24186,NORTH-WESTERN VICTORIA,Metropolitan,Government,Darebin,M,VCE non-VET,Lowest,New Zealand,No,Bachelor degree,Bachelor degree
24187,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,F,VCE non-VET,Lower-middle,Other,No,Bachelor degree,Bachelor degree
24188,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Upper-middle,Taiwan,Yes,Bachelor degree,Bachelor degree
24189,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,F,VCE non-VET,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24190,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24191,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Highest,Australia,No,Certificates/diplomas,Certificates/diplomas
24192,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE non-VET,Lowest,Turkey,Yes,Bachelor degree,Bachelor degree
24193,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Brimbank,M,VCAL only,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24194,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Wyndham,F,VCE non-VET,Lower-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24195,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE non-VET,Lowest,Afghanistan,Yes,Certificates/diplomas,Certificates/diplomas
24196,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Brimbank,F,VCE VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24197,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Moonee Valley,F,VCE non-VET,Lowest,Australia,No,Looking for work,Looking for work
24198,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Yarra Ranges,F,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24199,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Melbourne,M,VCE non-VET,Highest,Australia,No,Looking for work,Looking for work
