,Name,Services provided,Cost ($) ex GST 
313,FUJITSU AUSTRALIA LTD,IT Services,36125
314,FULCRUM CONSULTING PTY LTD,Professional Services,27180
315,FUTUREGOV AUSTRALIA PTY LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",4800
316,GANNTECH PTY LTD,IT Services,42901
317,GAUGE PROPERTY PTY LTD,Professional Services,10000
318,GAVIN HEALY EDUCATION SERVICES,Education Services,13975
319,GEELONG REGIONAL VOCATIONAL EDUCATION COUNCIL INC,Education and Community Development Services,75953
320,GENIE EDUCATIONAL PTY LTD,Education Services,19008
321,GEOMATIC TECHNOLOGIES PTY LTD,IT Services,950
322,GEOPLEX PTY LTD,IT Services,5225
323,G-FORCE RECRUITMENT LTD,Recruitment Services,33816
324,GIBBS CONSULTANCY,Professional Services,40119
325,GILDA HOWARD CONSULTING,Education Services,22626
326,GIPPSLAND EAST LOCAL LEARNING EMPLOYMENT NETWORK,Training Services,54707
327,GLB CONSULTING PTY LTD,Professional Services,2267
328,GLOBAL COFFEE SOLUTIONS PTY LTD,"Accommodation, Event, Functions and Conference",22303
329,GLOBAL VISION MEDIA,"Publishing, Printing, Promotions and Communications or Marketing Services",82288
330,GP IT,IT Services,14051
331,GRANT THORNTON AUSTRALIA LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",225896
332,GRATTAN INSTITUTE,Professional Services,3000
333,GREEN BEAR ENGINEERING PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",41558
334,GREEN COLLECT LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",2037
335,GREENCAP - NAA PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",538790
336,GROVE AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",495440
337,GROWTH COACHING INTERNATIONAL,Education Services,633934
338,GUERNICA PRODUCTIONS,"Publishing, Printing, Promotions and Communications or Marketing Services",5400
339,GWS AUST PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",74626
340,HALL + PARTNERS OPEN MIND PTY LTD,Professional Services,56400
341,HAMILTON PASTORAL + AGRICULTURAL SOCIETY INC,Education and Community Development Services,289
342,HAMMOND STREET DEVELOPMENTS PTY LTD,IT Project Management Services,1037035
343,HANEN CENTRE,Education and Community Development Services,10926
344,HANNAN-SMITH AND ASSOCIATES PTY LTD,Professional Services,21400
345,HARRIS TECHNOLOGY PTY LTD,IT Services,277
346,HARRY THE HIRER PTY LTD,"Accommodation, Event, Functions and Conference",3317
347,HARSOP INDUSTRIES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",360
348,HASKELL ARCHITECTS,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",64439
349,HAWKER BROWNLOW EDUCATION PTY LTD,"Professional Services (Research, Leadership and Professional Development)",16123
350,HAWKER BROWNLOW PROFESSIONAL LEARNING SOLUTIONS,"Professional Services (Research, Leadership and Professional Development)",150000
351,HAY GROUP PTY LTD,Professional Services,38000
352,HAYS SPECIALIST RECRUITMENT AUSTRALIA PTY LIMITED,Contract Staff (Whole-of-Government State Purchase Contract),23796334
353,HDA MEDICAL GROUP P,HR Services,350
354,HEADSPACE NATIONAL YOUTH MENTAL HEALTH FOUNDATION LTD,"Professional Services (Research, Leadership and Professional Development)",36920
355,HEARING AND SAFETY SERVICES,Education and Community Development Services,790
356,HEATHER BARNES PTY LTD,"Professional Services (Research, Leadership and Professional Development)",5200
357,HEIDELBERG GOLF CLUB,"Accommodation, Event, Functions and Conference",427
358,HEPPELL NET,Education Services,15000
359,HERRMANN INTERNATIONAL ASIA PTY LIMITED,Professional Services,6523
360,HICKS-DAVIES CONSULTING PTY LTD,Professional Services,103200
361,HIGHLANDS LOCAL LEARNING AND EMPLOYMENT NETWORK,Training Services,148637
362,HITACHI DATA SYSTEMS AUSTRALIA,IT Services,25327
